Aiding and Abetting/Accessory,,
Arson 1st Degree,3000,35
Assault 1st Degree,4000,30
Assault on Emergency Services,6000,40
Assault with a deadly weapon,5500,35
Attempted murder,5000,40
Attempted murder of Emergency Services,7000,50
Bribery of a Public Servant,3000,10
Burglary,3500,30
Conspiracy to Commit a Criminal Act,1500,15
Criminal Possession of Government Issued Equipment,5000,25
Criminal threat,4000,20
Destruction of physical evidence,1000,30
Escaping Custody,3000,20
Falsifying Government Document,3000,20
Fleeing and Eluding,1500,15
Fraud,1500,10
Grand Theft,3500,30
Grand Theft Auto,1500,20
Illegal possession of a Weapon/Firearm,2500,20
Impersonation,1000,10
Impersonation of an Emergency Services,2500,20
Kidnapping,3000,25
Manslaughter,5500,30
Murder,7000,50
Murder of a Emergency Services,12000,60
Obstruction of Justice,2000,10
Possession of a outlawed Weapon,3000,30
Possession of Marijuana with intent to sell,2500,15
Robbery/Armed Robbery,6000,30
Terroristic Acts,30000,999
Vehiclular Manslaughter,5500,30
