Arson 2nd Degree,1500,20
Assault 2nd Degree,2500,15
Attempted Grand Theft Auto,1000,10
Brandishing of a Firearm,1000,10
Destruction of Government Property,1500,15
Destruction of Property,1000,10
Disorderly Conduct,500,10
Domestic Violence,1000,20
Driving on suspended license,1000,10
Driving without a license,1500,15
Failure to comply with lawful order,700,15
Failure to identify to LEO,,99999
Failure to pay fines,1000,15
Failure to supply documentation to LEO,700,15
False 911 calls,1500,20
False Report,1500,20
Harassment,1000,10
JayWalking,200,
Joyriding,600,15
Loitering,500,
Petty Theft,1500,15
Poaching,500,20
Possession of a stolen identification,1500,10
Posession of burglary tools,1000,20
Possession of illegal substance (General),1500,20
Possession of Marijuana,1000,
Prostitution,800,10
Public Indecency,500,10
Public Intoxication,800,10
Reckless Driving,2500,15
Reckless Endangerment,2000,20
Stalking,1500,15
Street Racing,1500,20
Trespassing,1000,10
Trespassing on Government Property,2500,15
Unlawful Imprisonment,1500,10
Unlawful use of a weapon,3000,20
